,Player,Pos,Age,Tm,G,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,PTS
263,Jerami Grant,PF,27,DET,47,0.426,0.358,0.465,0.838,0.6,3.5,2.4,0.9,1.0,19.2
264,Hassani Gravett,PG,25,ORL,8,0.474,0.423,0.583,0.75,0.1,2.5,2.5,0.6,0.1,6.3
265,Danny Green,SF,34,PHI,62,0.394,0.38,0.469,0.786,0.5,2.0,1.0,1.0,0.6,5.9
266,Draymond Green,PF,31,GSW,46,0.525,0.296,0.586,0.659,1.0,6.3,7.0,1.3,1.1,7.5
267,Jalen Green,SG,19,HOU,67,0.426,0.343,0.502,0.797,0.5,2.9,2.6,0.7,0.3,17.3
268,JaMychal Green,PF,31,DEN,67,0.486,0.266,0.621,0.871,1.2,3.0,0.9,0.6,0.4,6.4
269,Javonte Green,SF,28,CHI,65,0.542,0.356,0.625,0.833,1.4,2.8,0.9,1.0,0.5,7.2
270,Jeff Green,C,35,DEN,75,0.524,0.315,0.62,0.833,0.5,2.5,1.3,0.4,0.4,10.3
271,Josh Green,SG,21,DAL,67,0.508,0.359,0.573,0.689,0.8,1.6,1.2,0.7,0.2,4.8
272,Blake Griffin,PF,32,BRK,56,0.425,0.262,0.565,0.724,1.1,3.0,1.9,0.5,0.3,6.4
273,Quentin Grimes,SG,21,NYK,46,0.404,0.381,0.5,0.684,0.5,1.5,1.0,0.7,0.2,6.0
274,Kyle Guy,SG,24,MIA,19,0.4,0.35,0.48,0.667,0.2,0.7,0.9,0.4,0.1,3.9
275,Rui Hachimura,PF,23,WAS,42,0.491,0.447,0.512,0.697,0.6,3.2,1.1,0.5,0.2,11.3
276,Tyrese Haliburton,SG-PG,21,TOT,77,0.473,0.414,0.517,0.842,0.8,3.2,8.2,1.7,0.6,15.3
279,Tyler Hall,SG,24,NYK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,R.J. Hampton,SG,20,ORL,64,0.383,0.35,0.405,0.641,0.4,2.7,2.5,0.7,0.2,7.6
281,Tim Hardaway Jr.,SG,29,DAL,42,0.394,0.336,0.473,0.757,0.3,3.4,2.2,0.9,0.1,14.2
282,James Harden,PG-SG,32,TOT,65,0.41,0.33,0.476,0.877,0.8,6.8,10.3,1.3,0.6,22.0
285,Maurice Harkless,SF,28,SAC,47,0.459,0.307,0.65,0.714,0.3,2.1,0.5,0.6,0.5,4.6
286,Jared Harper,PG,24,NOP,5,0.538,0.417,0.643,1.0,0.4,0.0,2.8,0.8,0.2,7.4
287,Montrezl Harrell,C,28,TOT,71,0.645,0.235,0.658,0.716,2.1,4.0,2.0,0.4,0.6,13.1
290,Gary Harris,SG,27,ORL,61,0.434,0.384,0.494,0.874,0.6,1.4,1.8,1.0,0.1,11.1
291,Joe Harris,SF,30,BRK,14,0.452,0.466,0.417,0.833,0.4,3.6,1.0,0.5,0.1,11.3
292,Tobias Harris,PF,29,PHI,73,0.482,0.367,0.525,0.842,1.1,5.7,3.5,0.6,0.6,17.2
293,Shaquille Harrison,SG,28,BRK,2,0.333,0.0,0.5,0.0,0.5,1.5,1.5,0.5,0.5,2.0
294,Josh Hart,SG-SF,26,TOT,54,0.504,0.343,0.601,0.758,1.1,6.0,4.1,1.1,0.2,14.9
297,Isaiah Hartenstein,C,23,LAC,68,0.626,0.467,0.64,0.689,1.7,3.2,2.4,0.7,1.1,8.3
298,Udonis Haslem,C,41,MIA,13,0.452,0.25,0.481,1.0,0.3,1.6,0.3,0.1,0.1,2.5
299,Sam Hauser,SF,24,BOS,26,0.46,0.432,0.667,0.0,0.2,0.9,0.4,0.0,0.1,2.5
300,Jaxson Hayes,C,21,NOP,70,0.616,0.351,0.66,0.766,1.6,2.9,0.6,0.5,0.8,9.3
301,Killian Hayes,PG,20,DET,66,0.383,0.263,0.452,0.77,0.5,2.6,4.2,1.2,0.5,6.9
302,Gordon Hayward,SF,31,CHO,49,0.459,0.391,0.496,0.846,0.8,3.8,3.6,1.0,0.4,15.9
303,Aaron Henry,SF,22,PHI,6,0.2,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.3,0.3
304,Juancho Hernangómez,PF,26,TOT,40,0.415,0.348,0.541,0.559,0.7,1.8,0.5,0.4,0.3,3.3
308,Willy Hernangómez,C,27,NOP,50,0.52,0.333,0.527,0.773,2.9,3.9,1.3,0.4,0.4,9.1
309,Tyler Herro,SG,22,MIA,66,0.447,0.399,0.477,0.868,0.5,4.5,4.0,0.7,0.1,20.7
310,Buddy Hield,SG,29,TOT,81,0.406,0.366,0.482,0.874,0.8,3.5,2.8,0.9,0.3,15.6
313,Haywood Highsmith,SF,25,MIA,19,0.348,0.321,0.389,0.4,0.5,0.8,0.3,0.1,0.2,2.3
314,George Hill,SG,35,MIL,54,0.429,0.306,0.546,0.919,0.7,2.2,2.2,0.8,0.1,6.2
315,Malcolm Hill,SF-SG,26,TOT,19,0.462,0.361,0.688,0.786,0.6,1.3,0.4,0.4,0.2,3.8
318,Solomon Hill,PF,30,ATL,13,0.15,0.154,0.143,0.0,0.5,1.3,0.9,0.3,0.2,0.6
319,Nate Hinton,SG,22,IND,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,Jaylen Hoard,SF,22,OKC,7,0.489,0.36,0.538,0.429,4.3,7.7,2.4,0.9,0.7,14.7
321,Aaron Holiday,PG,25,TOT,63,0.447,0.379,0.477,0.868,0.4,1.6,2.4,0.7,0.1,6.3
324,Jrue Holiday,PG,31,MIL,67,0.501,0.411,0.547,0.761,1.0,3.5,6.8,1.6,0.4,18.3
325,Justin Holiday,SF-SG,32,TOT,74,0.394,0.367,0.467,0.806,0.4,2.2,1.7,0.8,0.4,10.1
328,Richaun Holmes,C,28,SAC,45,0.66,0.4,0.664,0.778,2.1,5.0,1.1,0.4,0.9,10.4
329,Rodney Hood,SF-SG,29,TOT,52,0.369,0.33,0.424,0.895,0.3,1.2,0.7,0.3,0.1,3.1
332,Scotty Hopson,SG,32,OKC,1,0.5,0.0,0.667,0.0,0.0,1.0,1.0,0.0,0.0,4.0
333,Al Horford,C,35,BOS,69,0.467,0.336,0.582,0.842,1.6,6.1,3.4,0.7,1.3,10.2
334,Talen Horton-Tucker,SG,21,LAL,60,0.416,0.269,0.492,0.8,0.6,2.6,2.7,1.0,0.5,10.0
335,Danuel House Jr.,SF,28,TOT,42,0.404,0.376,0.444,0.759,0.4,2.2,1.0,0.5,0.4,5.9
339,Dwight Howard,C,36,LAL,60,0.612,0.533,0.618,0.658,2.0,4.0,0.6,0.6,0.6,6.2
340,Markus Howard,SG,22,DEN,31,0.386,0.4,0.355,0.87,0.1,0.3,0.2,0.3,0.0,4.1
341,Kevin Huerter,SG,23,ATL,74,0.454,0.389,0.53,0.808,0.4,3.0,2.7,0.7,0.4,12.1
342,Jay Huff,C,23,LAL,4,0.0,0.0,0.0,0.0,0.3,0.8,0.3,0.3,0.3,0.0
343,Elijah Hughes,SG-SF,23,TOT,36,0.326,0.263,0.449,0.778,0.2,1.4,0.6,0.4,0.2,3.5
346,Feron Hunt,SF,22,NYK,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0
347,De'Andre Hunter,SF,24,ATL,53,0.442,0.379,0.474,0.765,0.5,2.8,1.3,0.7,0.4,13.4
348,Chandler Hutchison,SF,25,PHO,6,0.5,0.0,0.5,1.0,0.0,0.8,0.3,0.0,0.0,0.7
349,Bones Hyland,PG,21,DEN,69,0.403,0.366,0.465,0.856,0.2,2.5,2.8,0.6,0.3,10.1
350,Serge Ibaka,C-PF,32,TOT,54,0.5,0.374,0.563,0.727,1.1,3.5,0.9,0.2,0.6,6.8
353,Andre Iguodala,SF,38,GSW,31,0.38,0.23,0.617,0.75,0.7,2.5,3.7,0.9,0.7,4.0
354,Joe Ingles,SF,34,UTA,45,0.404,0.347,0.617,0.773,0.3,2.6,3.5,0.5,0.1,7.2
355,Brandon Ingram,SF,24,NOP,55,0.461,0.327,0.501,0.826,0.6,5.2,5.6,0.6,0.5,22.7
356,Kyrie Irving,PG,29,BRK,29,0.469,0.418,0.501,0.915,0.6,3.8,5.8,1.4,0.6,27.4
357,Wes Iwundu,SF,27,ATL,3,0.444,0.6,0.385,0.75,1.0,3.3,0.0,0.3,0.0,7.3
358,Frank Jackson,PG,23,DET,53,0.402,0.308,0.529,0.827,0.4,1.3,1.0,0.5,0.2,10.6
359,Isaiah Jackson,PF,20,IND,36,0.563,0.313,0.584,0.682,1.7,2.5,0.3,0.7,1.4,8.3
360,Jaren Jackson Jr.,PF,22,MEM,78,0.415,0.319,0.476,0.823,1.5,4.3,1.1,0.9,2.3,16.3
361,Josh Jackson,SF,24,TOT,51,0.4,0.254,0.512,0.714,0.4,2.4,1.1,0.5,0.4,6.4
364,Justin Jackson,SF,26,TOT,7,0.333,0.333,0.333,1.0,0.1,0.9,0.3,0.0,0.0,2.1
367,Reggie Jackson,SG,31,LAC,75,0.392,0.326,0.439,0.847,0.5,3.1,4.8,0.7,0.2,16.8
368,LeBron James,SF,37,LAL,56,0.524,0.359,0.62,0.756,1.1,7.1,6.2,1.3,1.1,30.3
369,DeJon Jarreau,SG,24,IND,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,DaQuan Jeffries,SG,24,MEM,3,0.5,0.0,1.0,0.0,0.0,0.7,0.3,0.0,0.0,0.7
371,Ty Jerome,SG,24,OKC,48,0.378,0.29,0.493,0.809,0.4,1.2,2.3,0.6,0.1,7.1
372,Isaiah Joe,SG,22,PHI,55,0.35,0.333,0.405,0.935,0.1,0.9,0.6,0.3,0.1,3.6
373,Alize Johnson,PF,25,TOT,23,0.436,0.0,0.486,0.583,1.2,1.4,0.4,0.2,0.0,1.8
377,B.J. Johnson,SF,26,ORL,4,0.44,0.4,0.467,0.0,1.5,2.3,0.0,0.0,0.3,6.5
378,Cameron Johnson,PF,25,PHO,66,0.46,0.425,0.523,0.86,0.6,3.5,1.5,0.9,0.2,12.5
379,David Johnson,SG,20,TOR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Jalen Johnson,PF,20,ATL,22,0.537,0.231,0.679,0.714,0.1,1.1,0.1,0.1,0.1,2.4
381,James Johnson,PF,34,BRK,62,0.469,0.271,0.545,0.527,0.8,2.6,2.1,0.5,0.5,5.5
382,Joe Johnson,SG,40,BOS,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
383,Keldon Johnson,SF,22,SAS,75,0.466,0.398,0.51,0.756,1.1,5.0,2.1,0.8,0.2,17.0
384,Keon Johnson,SG,19,TOT,37,0.353,0.34,0.36,0.804,0.6,1.5,2.1,0.8,0.3,7.2
387,Stanley Johnson,PF,25,LAL,48,0.466,0.314,0.575,0.716,0.7,2.5,1.7,0.9,0.3,6.7
388,Tyler Johnson,PG,29,TOT,6,0.3,0.385,0.143,0.0,0.5,1.5,1.2,0.5,0.5,2.8
391,Nikola Joki?,C,26,DEN,74,0.583,0.337,0.652,0.81,2.8,11.0,7.9,1.5,0.9,27.1
392,Carlik Jones,PG,24,TOT,5,0.111,0.0,0.125,1.0,0.2,0.4,1.0,0.2,0.0,0.8
395,Damian Jones,C,26,SAC,56,0.658,0.345,0.696,0.718,1.3,3.1,1.2,0.5,0.8,8.1
396,Derrick Jones Jr.,PF,24,CHI,51,0.538,0.328,0.634,0.8,1.2,2.1,0.6,0.5,0.6,5.6
397,Herbert Jones,PF,23,NOP,78,0.476,0.337,0.533,0.84,1.3,2.5,2.1,1.7,0.8,9.5
398,Jemerrio Jones,SF,26,LAL,2,0.667,0.0,0.667,0.0,1.0,0.5,0.0,0.5,0.0,2.0
399,Kai Jones,C,21,CHO,21,0.643,0.5,0.667,0.375,0.1,0.4,0.2,0.0,0.1,1.0
400,Mason Jones,SG,23,LAL,4,0.467,0.25,0.545,0.8,0.3,2.3,1.0,0.5,0.0,6.8
401,Tre Jones,PG,22,SAS,69,0.49,0.196,0.542,0.78,0.4,1.8,3.4,0.6,0.1,6.0
402,Tyus Jones,PG,25,MEM,73,0.451,0.39,0.487,0.818,0.2,2.2,4.4,0.9,0.0,8.7
403,DeAndre Jordan,C,33,TOT,48,0.643,0.0,0.643,0.55,1.7,3.8,0.4,0.3,0.7,4.3
406,Cory Joseph,PG,30,DET,65,0.445,0.414,0.465,0.885,0.4,2.2,3.6,0.6,0.3,8.0
407,Georgios Kalaitzakis,SF,23,TOT,13,0.463,0.385,0.512,0.467,0.5,1.2,0.9,0.8,0.2,6.6
410,Frank Kaminsky,C,28,PHO,9,0.545,0.333,0.608,0.9,1.2,3.3,1.4,0.9,0.8,10.6
411,Luke Kennard,SG,25,LAC,70,0.449,0.449,0.449,0.896,0.3,3.0,2.1,0.6,0.1,11.9
412,Braxton Key,SF,24,TOT,11,0.458,0.286,0.529,0.538,1.2,3.4,1.0,0.9,1.0,7.2
415,George King,SF,28,DAL,4,0.0,0.0,0.0,0.5,0.0,1.3,0.0,0.0,0.0,0.3
416,Louis King,SF,22,SAC,10,0.319,0.296,0.35,0.7,0.0,1.2,0.9,0.2,0.1,4.5
417,Corey Kispert,SF,22,WAS,77,0.455,0.35,0.629,0.871,0.7,2.0,1.1,0.5,0.3,8.2
418,Maxi Kleber,PF,30,DAL,59,0.398,0.325,0.586,0.708,1.2,4.7,1.2,0.5,1.0,7.0
419,Brandon Knight,PG,30,DAL,5,0.4,0.235,0.75,1.0,0.0,1.6,1.6,0.2,0.0,6.4
420,Nathan Knight,PF,24,MIN,37,0.511,0.308,0.547,0.733,0.9,1.4,0.6,0.2,0.2,3.7
421,Kevin Knox,SF,22,TOT,30,0.365,0.278,0.516,0.727,0.5,1.0,0.3,0.1,0.1,3.1
424,John Konchar,SG,25,MEM,72,0.515,0.413,0.61,0.551,1.2,3.4,1.5,0.6,0.3,4.8
425,Furkan Korkmaz,SG,24,PHI,67,0.387,0.289,0.515,0.81,0.3,2.3,1.9,0.5,0.1,7.6
426,Luke Kornet,C,26,TOT,15,0.481,0.0,0.591,0.667,0.9,1.1,0.6,0.2,0.2,2.0
430,Vit Krejci,SG,21,OKC,30,0.407,0.327,0.522,0.864,0.6,2.8,1.9,0.6,0.3,6.2
431,Arnoldas Kulboka,SF,24,CHO,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,Jonathan Kuminga,SF,19,GSW,70,0.513,0.336,0.598,0.684,0.8,2.6,0.9,0.4,0.3,9.3
433,Kyle Kuzma,PF,26,WAS,66,0.452,0.341,0.526,0.712,1.1,7.4,3.5,0.6,0.9,17.1
434,Anthony Lamb,SF,24,SAS,2,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
435,Jeremy Lamb,SF-SG,29,TOT,56,0.383,0.324,0.441,0.84,0.5,2.3,1.4,0.6,0.4,7.3
438,Jock Landale,C,26,SAS,54,0.495,0.326,0.626,0.829,1.2,1.4,0.8,0.2,0.3,4.9
439,Romeo Langford,SG,22,TOT,48,0.435,0.341,0.509,0.548,0.6,1.6,0.4,0.5,0.3,4.5
442,Zach LaVine,SF,26,CHI,67,0.476,0.389,0.534,0.853,0.3,4.3,4.5,0.6,0.3,24.4
443,Jake Layman,SF,27,MIN,34,0.411,0.229,0.579,0.722,0.2,0.9,0.3,0.2,0.1,2.4
444,Damion Lee,SG,29,GSW,63,0.441,0.337,0.541,0.88,0.4,2.8,1.0,0.6,0.1,7.4
445,Saben Lee,PG,22,DET,37,0.39,0.233,0.47,0.789,0.5,1.9,2.9,1.0,0.3,5.6
446,Alex Len,C,28,SAC,39,0.534,0.286,0.568,0.651,1.3,2.8,1.2,0.3,0.6,6.0
447,Caris LeVert,SG,27,TOT,58,0.444,0.32,0.497,0.756,0.7,2.9,4.3,0.9,0.4,17.0
450,Kira Lewis Jr.,PG,20,NOP,24,0.404,0.224,0.523,0.833,0.4,1.3,2.0,0.5,0.0,5.9
451,Scottie Lewis,SG,21,CHO,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
452,Damian Lillard,PG,31,POR,29,0.402,0.324,0.485,0.878,0.4,3.7,7.3,0.6,0.4,24.0
453,Nassir Little,SF,21,POR,42,0.46,0.331,0.584,0.734,1.4,4.2,1.3,0.6,0.9,9.8
454,Isaiah Livers,SF,23,DET,19,0.456,0.422,0.538,0.857,0.8,2.2,1.1,0.7,0.4,6.4
455,Kevon Looney,C,25,GSW,82,0.571,0.0,0.573,0.6,2.5,4.7,2.0,0.6,0.6,6.0
456,Brook Lopez,C,33,MIL,13,0.466,0.358,0.538,0.87,1.5,2.6,0.5,0.6,1.2,12.4
457,Robin Lopez,C,33,ORL,36,0.553,0.333,0.56,0.593,1.9,1.6,1.5,0.1,0.5,7.1
458,Didi Louzada,SG-SF,22,TOT,9,0.364,0.391,0.3,1.0,0.6,1.3,0.6,0.2,0.2,3.9
461,Kevin Love,PF,33,CLE,74,0.43,0.392,0.493,0.838,1.2,6.1,2.2,0.4,0.2,13.6
462,Kyle Lowry,PG,35,MIA,63,0.44,0.377,0.539,0.851,0.5,4.0,7.5,1.1,0.3,13.4
463,Gabriel Lundberg,SG,27,PHO,4,0.263,0.375,0.182,0.0,0.5,1.3,2.8,0.8,0.0,3.3
464,Timothé Luwawu-Cabarrot,SF,26,ATL,52,0.398,0.361,0.469,0.854,0.3,1.3,0.8,0.3,0.1,4.4
465,Trey Lyles,PF,26,TOT,75,0.466,0.321,0.552,0.802,1.2,3.9,1.2,0.4,0.4,10.5
468,Théo Maledon,PG,20,OKC,51,0.375,0.293,0.449,0.79,0.4,2.2,2.2,0.6,0.2,7.1
469,Sandro Mamukelashvili,PF,22,MIL,41,0.496,0.423,0.556,0.818,0.9,1.1,0.5,0.2,0.2,3.8
470,Terance Mann,SF,25,LAC,81,0.484,0.365,0.535,0.78,1.3,4.0,2.6,0.7,0.3,10.8
471,Tre Mann,PG,20,OKC,60,0.393,0.36,0.421,0.793,0.4,2.4,1.5,0.8,0.2,10.4
472,Boban Marjanovi?,C,33,DAL,23,0.6,0.25,0.621,0.591,0.3,1.3,0.1,0.0,0.1,4.3
473,Lauri Markkanen,PF,24,CLE,61,0.445,0.358,0.548,0.868,1.0,4.7,1.3,0.7,0.5,14.8
474,Naji Marshall,SF,24,NOP,55,0.405,0.2,0.537,0.796,0.7,1.9,1.1,0.6,0.1,5.7
475,Caleb Martin,SF,26,MIA,60,0.507,0.413,0.565,0.763,1.2,2.7,1.1,1.0,0.5,9.2
476,Cody Martin,SF,26,CHO,71,0.482,0.384,0.542,0.701,1.2,2.9,2.5,1.2,0.5,7.7
477,Kelan Martin,SF,26,TOT,30,0.409,0.293,0.5,0.692,0.6,1.3,0.7,0.4,0.3,5.7
480,Kenyon Martin Jr.,SF,21,HOU,79,0.533,0.357,0.617,0.634,1.0,2.7,1.3,0.4,0.5,8.8
481,Garrison Mathews,SG,25,HOU,65,0.399,0.36,0.6,0.794,0.5,2.4,1.0,0.9,0.4,10.0
482,Dakota Mathias,SG,26,MEM,6,0.333,0.333,0.0,0.0,0.0,0.3,0.2,0.2,0.0,1.0
483,Wesley Matthews,SG,35,MIL,49,0.395,0.338,0.54,0.786,0.6,1.3,0.7,0.5,0.2,5.1
484,Tyrese Maxey,PG,21,PHI,75,0.485,0.427,0.512,0.866,0.3,2.9,4.3,0.7,0.4,17.5
485,Skylar Mays,SG,24,ATL,28,0.5,0.32,0.615,0.889,0.2,0.7,0.6,0.3,0.0,2.9
486,Miles McBride,PG,21,NYK,40,0.296,0.25,0.375,0.667,0.1,1.0,1.0,0.4,0.0,2.2
487,Mac McClung,SG-PG,23,TOT,2,0.5,0.333,0.667,1.0,0.0,1.5,0.5,0.5,0.5,4.0
490,CJ McCollum,SG,30,TOT,62,0.46,0.388,0.509,0.682,0.9,3.5,5.1,1.1,0.4,22.1
493,T.J. McConnell,PG,29,IND,27,0.481,0.303,0.514,0.826,0.7,2.6,4.9,1.1,0.4,8.5
494,Jaden McDaniels,PF,21,MIN,70,0.46,0.317,0.579,0.803,1.1,3.1,1.1,0.7,0.8,9.2
495,Jalen McDaniels,SF,24,CHO,55,0.484,0.38,0.562,0.736,0.7,2.4,1.1,0.5,0.4,6.2
496,Doug McDermott,PF,30,SAS,51,0.462,0.422,0.512,0.784,0.4,1.9,1.3,0.3,0.1,11.3
497,JaVale McGee,C,34,PHO,74,0.629,0.222,0.637,0.699,2.2,4.5,0.6,0.3,1.1,9.2
498,Cameron McGriff,SF,24,POR,3,0.357,0.333,0.375,1.0,2.0,3.0,1.0,0.0,0.3,4.7
499,Rodney McGruder,SG,30,DET,51,0.436,0.397,0.506,0.731,0.6,1.6,0.9,0.4,0.1,5.4
500,Alfonzo McKinnie,SF,29,CHI,17,0.393,0.333,0.441,0.25,0.8,1.2,0.3,0.1,0.2,3.5
501,JaQuori McLaughlin,PG,24,DAL,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
502,Jordan McLaughlin,PG,25,MIN,62,0.44,0.318,0.53,0.75,0.4,1.2,2.9,0.9,0.2,3.8
503,Ben McLemore,SG,28,POR,64,0.401,0.362,0.533,0.818,0.2,1.4,0.9,0.6,0.2,10.2
504,De'Anthony Melton,SG,23,MEM,73,0.404,0.374,0.44,0.75,0.9,3.6,2.7,1.4,0.5,10.8
505,Sam Merrill,SG,25,MEM,6,0.333,0.304,1.0,0.5,0.2,1.0,0.7,0.0,0.0,4.2
506,Chimezie Metu,C,24,SAC,60,0.452,0.306,0.555,0.78,0.6,5.0,1.0,0.9,0.5,8.9
507,Khris Middleton,SF,30,MIL,66,0.443,0.373,0.494,0.89,0.6,4.8,5.4,1.2,0.3,20.1
508,C.J. Miles,SG,34,BOS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,Patty Mills,PG,33,BRK,81,0.408,0.4,0.429,0.814,0.2,1.7,2.3,0.6,0.2,11.4
510,Paul Millsap,PF,36,TOT,33,0.391,0.229,0.463,0.708,1.2,2.2,0.9,0.3,0.4,3.5
513,Shake Milton,PG,25,PHI,55,0.429,0.323,0.481,0.836,0.5,2.0,2.5,0.5,0.3,8.2
514,Davion Mitchell,PG,23,SAC,75,0.418,0.316,0.48,0.659,0.4,1.8,4.2,0.7,0.3,11.5
515,Donovan Mitchell,SG,25,UTA,67,0.448,0.355,0.533,0.853,0.8,3.4,5.3,1.5,0.2,25.9
516,Evan Mobley,PF,20,CLE,69,0.508,0.25,0.541,0.663,2.1,6.2,2.5,0.8,1.7,15.0
517,Malik Monk,SG,23,LAL,76,0.473,0.391,0.568,0.795,0.5,2.9,2.9,0.8,0.4,13.8
518,Greg Monroe,C,31,TOT,14,0.561,0.0,0.561,0.522,2.1,2.4,1.6,0.6,0.7,5.4
523,Moses Moody,SG,19,GSW,52,0.437,0.364,0.548,0.778,0.3,1.2,0.4,0.1,0.2,4.4
524,Xavier Moon,SG,27,LAC,10,0.49,0.357,0.541,0.6,0.2,1.2,2.4,0.7,0.3,5.8
525,Matt Mooney,SG,24,NYK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
526,Ja Morant,PG,22,MEM,57,0.493,0.344,0.534,0.761,1.4,4.4,6.7,1.2,0.4,27.4
527,Juwan Morgan,PF,24,TOT,2,0.667,0.5,1.0,0.0,1.0,1.0,0.5,0.0,0.0,2.5
530,Jaylen Morris,SG,26,SAS,3,0.0,0.0,0.0,0.5,0.0,0.7,0.7,0.0,0.0,0.7
531,Marcus Morris,PF,32,LAC,54,0.434,0.367,0.478,0.872,0.5,3.9,2.1,0.5,0.3,15.4
532,Markieff Morris,PF,32,MIA,17,0.474,0.333,0.547,0.889,1.0,1.6,1.4,0.4,0.1,7.6
533,Monte Morris,PG,26,DEN,75,0.484,0.395,0.545,0.869,0.4,2.7,4.4,0.7,0.2,12.6
534,Emmanuel Mudiay,PG,25,SAC,2,0.0,0.0,0.0,0.75,0.0,0.0,2.0,0.5,0.0,1.5
535,Mychal Mulder,PG,27,TOT,17,0.312,0.315,0.304,1.0,0.1,1.3,0.3,0.2,0.1,4.1
538,Ade Murkey,SG,24,SAC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,Trey Murphy III,SF,21,NOP,62,0.394,0.382,0.418,0.882,0.8,1.6,0.6,0.4,0.1,5.4
540,Dejounte Murray,PG,25,SAS,68,0.462,0.327,0.504,0.794,1.2,7.1,9.2,2.0,0.3,21.1
541,Mike Muscala,C,30,OKC,43,0.456,0.429,0.506,0.842,0.5,2.5,0.5,0.4,0.6,8.0
542,Svi Mykhailiuk,SF,24,TOR,56,0.389,0.306,0.5,0.865,0.4,1.3,0.8,0.5,0.1,4.6
