"","...1","Player","Position 1","Position 2","Age","Team","Games Played","Field Goal Percentage","3 Point Percentage","2 Point Percentage","Free Throw Percentage","Offensive Rebounds Per Game","Defensive Rebounds Per Game","Assists Per Game","Steals Per Game","Blocks Per Game","Points Per Game","Average Fantasy Points","Total Fantasy Points"
"1",0,"Precious Achiuwa","C",NA,22,"TOR",73,0.439,0.359,0.468,0.595,2,4.5,1.1,0.5,0.6,9.1,21.765,1588.845
"2",1,"Steven Adams","C",NA,28,"MEM",76,0.547,0,0.548,0.543,4.6,5.4,3.4,0.9,0.8,6.9,29.295,2226.42
"3",2,"Bam Adebayo","C",NA,24,"MIA",56,0.557,0,0.562,0.753,2.4,7.6,3.4,1.4,0.8,19.1,42.885,2401.56
"4",3,"Santi Aldama","PF",NA,21,"MEM",32,0.402,0.125,0.56,0.625,1,1.7,0.7,0.2,0.3,4.1,9.955,318.56
"5",4,"LaMarcus Aldridge","C",NA,36,"BRK",47,0.55,0.304,0.578,0.873,1.6,3.9,0.9,0.3,1,12.9,24.795,1165.365
"6",5,"Nickeil Alexander-Walker","SG",NA,23,"TOT",65,0.372,0.311,0.433,0.743,0.6,2.3,2.4,0.7,0.4,10.6,21.365,1388.725
"7",8,"Grayson Allen","SG",NA,26,"MIL",66,0.448,0.409,0.533,0.865,0.5,2.9,1.5,0.7,0.3,11.1,20.54,1355.64
"8",9,"Jarrett Allen","C",NA,23,"CLE",56,0.677,0.1,0.688,0.708,3.4,7.3,1.6,0.8,1.3,16.1,37.36,2092.16
"9",10,"Jose Alvarado","PG",NA,23,"NOP",54,0.446,0.291,0.538,0.679,0.5,1.4,2.8,1.3,0.1,6.1,16.67,900.18
"10",11,"Justin Anderson","SF",NA,28,"TOT",16,0.379,0.254,0.583,0.789,0.3,2.6,2.1,0.5,0.4,6.4,15.97,255.52
"11",14,"Kyle Anderson","PF",NA,28,"MEM",69,0.446,0.33,0.481,0.638,1,4.3,2.7,1.1,0.7,7.6,23.12,1595.28
"12",15,"Giannis Antetokounmpo","PF",NA,27,"MIL",67,0.553,0.293,0.616,0.722,2,9.6,5.8,1.1,1.4,29.9,61.365,4111.455
"13",16,"Thanasis Antetokounmpo","SF",NA,29,"MIL",48,0.547,0.143,0.596,0.63,0.8,1.3,0.5,0.3,0.3,3.6,8.55,410.4
"14",17,"Carmelo Anthony","PF",NA,37,"LAL",69,0.441,0.375,0.521,0.83,0.9,3.3,1,0.7,0.8,13.3,24.135,1665.315
"15",18,"Cole Anthony","PG",NA,21,"ORL",65,0.391,0.338,0.432,0.854,0.5,4.9,5.7,0.7,0.3,16.3,36.07,2344.55
"16",19,"OG Anunoby","SF",NA,24,"TOR",48,0.443,0.363,0.511,0.754,1.5,4,2.6,1.5,0.5,17.1,33.49,1607.52
"17",20,"Ryan Arcidiacono","PG",NA,27,"NYK",10,0.5,0.444,0.667,0,0,0.8,0.4,0.1,0,1.6,3.54,35.4
"18",21,"Trevor Ariza","SF",NA,36,"LAL",24,0.333,0.27,0.52,0.556,0.4,3,1.1,0.5,0.3,4,11.935,286.44
"19",22,"D.J. Augustin","PG",NA,34,"TOT",55,0.423,0.415,0.448,0.884,0.2,1,1.9,0.3,0,5.3,11.08,609.4
"20",25,"Deni Avdija","SF",NA,21,"WAS",82,0.432,0.317,0.525,0.757,0.6,4.5,2,0.7,0.5,8.4,21.095,1729.79
"21",26,"Joel Ayayi","SG",NA,21,"WAS",7,0.167,0,0.2,0,0.1,0.3,0.6,0,0,0.3,1.895,13.265
"22",27,"Deandre Ayton","C",NA,23,"PHO",58,0.634,0.368,0.642,0.746,2.6,7.7,1.4,0.7,0.7,17.2,35.905,2082.49
"23",28,"Udoka Azubuike","C",NA,22,"UTA",17,0.755,0,0.755,0.545,1.1,3.1,0,0.1,0.6,4.7,11.575,196.775
"24",29,"Marvin Bagley III","PF",NA,22,"TOT",48,0.504,0.237,0.579,0.663,2.2,4.9,0.8,0.5,0.4,11.3,23.73,1139.04
"25",32,"LaMelo Ball","PG",NA,20,"CHO",75,0.429,0.389,0.462,0.872,1.4,5.2,7.6,1.6,0.4,20.1,47.095,3532.125
"26",33,"Lonzo Ball","PG",NA,24,"CHI",35,0.423,0.423,0.423,0.75,1,4.4,5.1,1.8,0.9,13,35.245,1233.575
"27",34,"Mo Bamba","C",NA,23,"ORL",71,0.48,0.381,0.563,0.781,2.1,6,1.2,0.5,1.7,10.6,28.125,1996.875
"28",35,"Desmond Bane","SF",NA,23,"MEM",76,0.461,0.436,0.484,0.903,0.6,3.8,2.7,1.2,0.4,18.2,32.625,2479.5
"29",36,"Dalano Banton","SF",NA,22,"TOR",64,0.411,0.255,0.464,0.591,0.6,1.3,1.5,0.4,0.2,3.2,9.68,619.52
"30",37,"Cat Barber","PG",NA,27,"ATL",3,0,0,0,0,0.3,0.7,1,0,0,0,3.03,9.09
"31",38,"Harrison Barnes","PF",NA,29,"SAC",77,0.469,0.394,0.525,0.826,1.1,4.5,2.4,0.7,0.2,16.4,30.11,2318.47
"32",39,"Scottie Barnes","PF",NA,20,"TOR",74,0.492,0.301,0.543,0.735,2.6,4.9,3.5,1.1,0.7,15.3,35.375,2617.75
"33",40,"RJ Barrett","SF",NA,21,"NYK",70,0.408,0.342,0.442,0.714,0.9,4.9,3,0.6,0.2,20,35.01,2450.7
"34",41,"Will Barton","SG",NA,31,"DEN",71,0.438,0.365,0.504,0.803,0.6,4.2,3.9,0.8,0.4,14.7,30.83,2188.93
"35",42,"Paris Bass","SF",NA,26,"PHO",2,0.333,0,0.5,1,1,1,0,0.5,0,3,6.55,13.1
"36",43,"Charles Bassey","PF",NA,21,"PHI",23,0.638,0,0.698,0.75,1,1.7,0.3,0.2,0.7,3,9.06,208.38
"37",44,"Keita Bates-Diop","SF",NA,26,"SAS",59,0.517,0.309,0.572,0.754,1.1,2.9,0.7,0.5,0.2,5.7,13.49,795.91
"38",45,"Nicolas Batum","PF",NA,33,"LAC",59,0.463,0.4,0.607,0.658,0.5,3.8,1.7,1,0.7,8.3,20.605,1215.695
"39",46,"Kent Bazemore","SF",NA,32,"LAL",39,0.324,0.363,0.271,0.765,0.3,1.4,0.9,0.6,0.2,3.4,8.92,347.88
"40",47,"Darius Bazley","PF",NA,21,"OKC",69,0.422,0.297,0.511,0.688,1,5.3,1.4,0.8,1,10.8,25.375,1750.875
"41",48,"Bradley Beal","SG",NA,28,"WAS",40,0.451,0.3,0.508,0.833,1,3.8,6.6,0.9,0.4,23.2,44.99,1799.6
"42",49,"Malik Beasley","SG",NA,25,"MIN",79,0.391,0.377,0.432,0.817,0.3,2.5,1.5,0.5,0.2,12.1,20.23,1598.17
"43",50,"Jordan Bell","C",NA,27,"CHI",1,0,0,0,0,1,0,0,1,0,0,3.25,3.25
"44",51,"DeAndre' Bembry","SF",NA,27,"TOT",56,0.561,0.417,0.589,0.6,0.8,2.2,1.2,0.9,0.4,5.1,13.905,778.68
"45",54,"D?vis Bert?ns","PF",NA,29,"TOT",56,0.36,0.335,0.489,0.9,0.2,1.9,0.6,0.3,0.2,5.6,10.525,589.4
"46",57,"Patrick Beverley","PG",NA,33,"MIN",58,0.406,0.343,0.485,0.722,1.1,3.1,4.6,1.2,0.9,9.2,27.76,1610.08
"47",58,"Saddiq Bey","SF",NA,22,"DET",82,0.396,0.346,0.454,0.827,1.3,4.1,2.8,0.9,0.2,16.1,30.725,2519.45
"48",59,"Khem Birch","C",NA,29,"TOR",55,0.485,0,0.522,0.746,2.2,2.1,1,0.5,0.5,4.5,13.99,769.45
"49",60,"Goga Bitadze","C",NA,22,"IND",50,0.52,0.288,0.628,0.681,1.6,2,1.1,0.4,0.8,7,16.485,824.25
"50",61,"Bismack Biyombo","C",NA,29,"PHO",36,0.593,0,0.593,0.535,1.8,2.9,0.6,0.3,0.7,5.8,15.135,544.86
"51",62,"Nemanja Bjelica","C",NA,33,"GSW",71,0.468,0.362,0.549,0.728,0.9,3.3,2.2,0.6,0.4,6.1,17.595,1249.245
"52",63,"Eric Bledsoe","PG",NA,32,"LAC",54,0.421,0.313,0.479,0.761,0.5,2.9,4.2,1.3,0.4,9.9,25.725,1389.15
"53",64,"Keljin Blevins","SF",NA,26,"POR",31,0.306,0.292,0.333,0.545,0.5,0.9,0.6,0.4,0,3.1,6.825,211.575
"54",65,"Bogdan Bogdanovi?","SG",NA,29,"ATL",63,0.431,0.368,0.516,0.843,0.5,3.5,3.1,1.1,0.2,15.1,28.94,1823.22
"55",66,"Bojan Bogdanovi?","PF",NA,32,"UTA",69,0.455,0.387,0.524,0.858,0.8,3.4,1.7,0.5,0,18.1,28.06,1936.14
"56",67,"Bol Bol","PF",NA,22,"DEN",14,0.556,0.25,0.609,0.4,0.3,1.1,0.4,0.1,0.1,2.4,5.35,74.9
"57",68,"Leandro Bolmaro","SF",NA,21,"MIN",35,0.315,0.278,0.333,0.846,0.5,0.8,0.6,0.2,0,1.4,4.525,158.375
"58",69,"Isaac Bonga","SF",NA,22,"TOR",15,0.231,0.25,0.222,0.625,0.3,0.2,0.3,0.5,0.1,0.8,3.25,48.75
"59",70,"Devin Booker","SG",NA,25,"PHO",68,0.466,0.383,0.508,0.868,0.7,4.4,4.8,1.1,0.4,26.8,46.155,3138.54
"60",71,"Brandon Boston Jr.","SG",NA,20,"LAC",51,0.385,0.306,0.425,0.819,0.3,1.8,1,0.5,0.3,6.7,13.08,667.08
"61",72,"Chris Boucher","PF",NA,29,"TOR",80,0.464,0.297,0.575,0.777,2.2,3.9,0.3,0.6,0.9,9.4,21.11,1688.8
"62",73,"James Bouknight","SG",NA,21,"CHO",31,0.348,0.347,0.348,0.871,0.7,1,0.8,0.2,0,4.6,8.735,270.785
"63",74,"Avery Bradley","SG",NA,31,"LAL",62,0.423,0.39,0.471,0.889,0.5,1.7,0.8,0.9,0.1,6.4,12.83,795.46
"64",75,"Tony Bradley","C",NA,24,"CHI",55,0.585,0,0.585,0.655,1.2,2.2,0.5,0.2,0.6,3,10.005,550.275
"65",76,"Ignas Brazdeikis","SF",NA,23,"ORL",42,0.431,0.31,0.535,0.656,0.5,1.2,0.9,0.2,0.1,5,9.57,401.94
"66",77,"Mikal Bridges","SF",NA,25,"PHO",82,0.534,0.369,0.628,0.834,0.9,3.3,2.3,1.2,0.4,14.2,27.485,2253.77
"67",78,"Miles Bridges","PF",NA,23,"CHO",80,0.491,0.331,0.59,0.802,1.1,5.9,3.8,0.9,0.8,20.2,40.2,3216
"68",79,"Oshae Brissett","SF",NA,23,"IND",67,0.411,0.35,0.465,0.695,1.6,3.7,1.1,0.7,0.4,9.1,20.245,1356.415
"69",80,"Malcolm Brogdon","PG",NA,29,"IND",36,0.448,0.312,0.518,0.856,0.9,4.2,5.9,0.8,0.4,19.1,39.525,1422.9
"70",81,"Armoni Brooks","SG","PG",23,"TOT",54,0.339,0.297,0.6,0.857,0.4,1.5,1.1,0.5,0.2,5.3,11.325,611.55
"71",84,"Dillon Brooks","SF",NA,26,"MEM",32,0.432,0.309,0.48,0.849,0.9,2.3,2.8,1.1,0.3,18.4,31.22,999.04
"72",85,"Bruce Brown","SF",NA,25,"BRK",72,0.506,0.404,0.529,0.758,1.4,3.4,2.1,1.1,0.7,9,22.945,1652.04
"73",86,"Charlie Brown Jr.","SG",NA,24,"TOT",22,0.256,0.083,0.333,0.9,0.6,0.8,0.3,0.5,0.2,1.4,5.195,114.29
"74",89,"Chaundee Brown Jr.","SG","SF",23,"TOT",5,0.313,0.333,0.286,0.833,0.2,3,0.8,0.4,0,6.2,12.49,62.45
"75",92,"Greg Brown III","SF",NA,20,"POR",48,0.426,0.311,0.481,0.677,0.8,2,0.7,0.5,0.5,4.7,11.78,565.44
"76",93,"Jaylen Brown","SF",NA,25,"BOS",66,0.473,0.358,0.544,0.758,0.8,5.3,3.5,1.1,0.3,23.6,41.3,2725.8
"77",94,"Moses Brown","C",NA,22,"TOT",40,0.593,0,0.593,0.597,1,2.4,0,0.2,0.4,4.3,9.925,397
"78",97,"Sterling Brown","SG",NA,26,"DAL",49,0.381,0.304,0.492,0.933,0.5,2.5,0.7,0.3,0.1,3.3,9.11,446.39
"79",98,"Troy Brown Jr.","SF",NA,22,"CHI",66,0.419,0.353,0.488,0.769,0.6,2.5,1,0.5,0.1,4.3,11.24,741.84
"80",99,"Jalen Brunson","PG",NA,25,"DAL",79,0.502,0.373,0.545,0.84,0.5,3.4,4.8,0.8,0,16.3,32.13,2538.27
"81",100,"Thomas Bryant","C",NA,24,"WAS",27,0.52,0.286,0.613,0.875,1,3,0.9,0.2,0.8,7.4,16.535,446.445
"82",101,"Shaq Buchanan","PG",NA,25,"MEM",2,0.25,0,0.5,0,0.5,0.5,1,0.5,0,1,5.1,10.2
"83",102,"Reggie Bullock","SF",NA,30,"DAL",68,0.401,0.36,0.55,0.833,0.5,3.1,1.2,0.6,0.2,8.6,17.14,1165.52
"84",103,"Trey Burke","PG",NA,29,"DAL",42,0.391,0.317,0.436,0.87,0.1,0.7,1.4,0.3,0,5.1,9.475,397.95
"85",104,"Alec Burks","SG",NA,30,"NYK",81,0.391,0.404,0.378,0.822,0.6,4.3,3,1,0.3,11.7,26.28,2128.68
"86",105,"Jared Butler","SG",NA,21,"UTA",42,0.404,0.318,0.524,0.688,0.1,1,1.5,0.4,0.2,3.8,9.34,392.28
"87",106,"Jimmy Butler","SF",NA,32,"MIA",57,0.48,0.233,0.52,0.87,1.8,4.1,5.5,1.6,0.5,21.4,44.06,2511.42
"88",107,"Devontae Cacok","PF",NA,25,"SAS",15,0.677,0,0.677,0.571,0.5,2.3,0.4,0.5,0.5,3.1,9.515,142.725
"89",108,"Kentavious Caldwell-Pope","SG",NA,28,"WAS",77,0.435,0.39,0.48,0.89,0.5,2.9,1.9,1.1,0.3,13.2,24.285,1869.945
"90",109,"Facundo Campazzo","PG",NA,30,"DEN",65,0.361,0.301,0.476,0.769,0.4,1.4,3.4,1,0.4,5.1,16.755,1089.075
"91",110,"Vlatko ?an?ar","PF",NA,24,"DEN",15,0.561,0.583,0.552,0.643,0.5,1.5,1.1,0.1,0.2,4.1,9.39,140.85
"92",111,"Devin Cannady","PG",NA,25,"ORL",5,0.341,0.405,0,0.714,0.2,1,2,1,0.6,10,19.1,95.5
"93",112,"Clint Capela","C",NA,27,"ATL",74,0.613,0,0.614,0.473,3.8,8.1,1.2,0.7,1.3,11.1,32.59,2411.66
"94",113,"Vernon Carey Jr.","C",NA,20,"TOT",7,0.538,0,0.538,0.462,1.1,0.6,0,0.3,0.1,2.9,5.96,41.72
"95",116,"Jevon Carter","PG",NA,26,"TOT",66,0.387,0.388,0.386,0.833,0.2,1.5,1.5,0.4,0.2,4.2,10.46,690.36
"96",119,"Wendell Carter Jr.","C",NA,22,"ORL",62,0.525,0.327,0.615,0.691,2.2,8.2,2.8,0.6,0.7,15,36.06,2235.72
"97",120,"Alex Caruso","SG",NA,27,"CHI",41,0.398,0.333,0.462,0.795,0.8,2.8,4,1.7,0.4,7.4,23.79,975.39
"98",121,"Willie Cauley-Stein","C",NA,28,"TOT",20,0.457,0.5,0.455,0.5,0.7,1.4,0.5,0.3,0.2,1.7,6.295,125.9
"99",124,"Ahmad Caver","PG",NA,25,"IND",1,1,0,1,0,0,0,0,0,0,2,2.1,2.1
"100",125,"Justin Champagnie","SF",NA,20,"TOR",36,0.463,0.357,0.538,1,1,1,0.3,0.2,0.1,2.3,6.02,216.72
"101",126,"Zylan Cheatham","SF",NA,26,"UTA",1,0,0,0,0,0,0,0,0,0,0,0,0
"102",127,"Chris Chiozza","PG",NA,26,"GSW",34,0.296,0.321,0.25,0.667,0.3,0.8,1.9,0.4,0,2,7.71,262.14
"103",128,"Marquese Chriss","PF",NA,24,"DAL",34,0.463,0.32,0.495,0.667,1,2.1,0.5,0.4,0.4,4.5,11.115,377.91
"104",129,"Josh Christopher","SG",NA,20,"HOU",74,0.448,0.296,0.54,0.735,0.7,1.8,2,0.9,0.2,7.9,17.24,1275.76
"105",130,"Gary Clark","PF",NA,27,"NOP",38,0.375,0.4,0.278,0.7,0.6,1.8,0.5,0.3,0.2,2.7,7.68,291.84
"106",131,"Brandon Clarke","PF",NA,25,"MEM",64,0.644,0.227,0.666,0.654,2.1,3.2,1.3,0.6,1.1,10.4,23.58,1509.12
"107",132,"Jordan Clarkson","SG",NA,29,"UTA",79,0.419,0.318,0.535,0.828,0.8,2.6,2.5,0.8,0.2,16,27.515,2173.685
"108",133,"Nic Claxton","C",NA,22,"BRK",47,0.674,0,0.674,0.581,1.9,3.7,0.9,0.5,1.1,8.7,21.18,995.46
"109",134,"Amir Coffey","SG",NA,24,"LAC",69,0.453,0.378,0.542,0.863,0.4,2.5,1.8,0.6,0.2,9,17.855,1231.995
"110",135,"John Collins","PF",NA,24,"ATL",54,0.526,0.364,0.588,0.793,1.7,6.1,1.8,0.6,1,16.2,33.18,1791.72
"111",136,"Zach Collins","PF",NA,24,"SAS",28,0.49,0.341,0.544,0.8,1.6,3.8,2.2,0.5,0.8,7.8,21.63,605.64
"112",137,"Darren Collison","PG",NA,34,"LAL",3,0.286,0,0.5,0,0,1.3,0.7,0.3,0,1.3,4.755,14.265
"113",138,"Mike Conley","PG",NA,34,"UTA",72,0.435,0.408,0.464,0.796,0.7,2.4,5.3,1.3,0.3,13.7,31.175,2244.6
"114",139,"Pat Connaughton","SG",NA,29,"MIL",65,0.458,0.395,0.643,0.833,0.7,3.5,1.3,0.9,0.2,9.9,20,1300
"115",140,"Tyler Cook","PF",NA,24,"CHI",20,0.605,0,0.605,0.656,0.8,1.9,0.2,0.2,0.2,3.4,8.025,160.5
"116",141,"Sharife Cooper","PG",NA,20,"ATL",13,0.214,0.167,0.25,0,0,0.4,0.4,0,0,0.5,1.725,22.425
"117",142,"Petr Cornelie","PF",NA,26,"DEN",13,0.333,0.125,0.571,0.75,0.5,0.5,0.2,0.1,0.1,1.1,3.175,41.275
"118",143,"DeMarcus Cousins","C",NA,31,"TOT",48,0.46,0.303,0.554,0.76,1.5,4.1,1.5,0.7,0.4,9,21.215,1018.32
"119",146,"Robert Covington","PF","SF",31,"TOT",71,0.42,0.378,0.509,0.841,0.8,4.7,1.3,1.5,1.3,8.5,23.985,1702.935
"120",149,"Torrey Craig","SF",NA,31,"TOT",78,0.454,0.329,0.594,0.75,1.1,2.9,1.2,0.6,0.5,6.6,16.31,1272.18
"121",152,"Jae Crowder","PF",NA,31,"PHO",67,0.399,0.348,0.503,0.789,0.4,4.8,1.9,1.4,0.4,9.4,23.205,1554.735
"122",153,"Jarrett Culver","SG",NA,22,"MEM",37,0.378,0.255,0.443,0.471,0.4,0.9,0.9,0.5,0.1,3.5,8.125,300.625
"123",154,"Jarron Cumberland","SG",NA,24,"POR",3,0.5,0,1,0,0.3,0.7,0.3,0,0,0.7,2.47,7.41
"124",155,"Cade Cunningham","PG",NA,20,"DET",64,0.416,0.314,0.472,0.845,0.9,4.6,5.6,1.2,0.7,17.4,39.195,2508.48
"125",156,"Seth Curry","SG",NA,31,"TOT",64,0.487,0.422,0.553,0.872,0.3,2.8,3.6,0.8,0.2,15,28.105,1798.72
"126",159,"Stephen Curry","PG",NA,33,"GSW",64,0.437,0.38,0.527,0.923,0.5,4.7,6.3,1.3,0.4,25.5,48.06,3075.84
"127",160,"Anthony Davis","C",NA,28,"LAL",40,0.532,0.186,0.571,0.713,2.7,7.2,3.1,1.2,2.3,23.2,49.9,1996
"128",161,"Ed Davis","C",NA,32,"CLE",31,0.688,0,0.688,0.429,0.5,1.6,0.2,0.1,0.3,0.9,4.73,146.63
"129",162,"Terence Davis","SG",NA,24,"SAC",30,0.423,0.329,0.542,0.818,0.4,2.8,1.3,0.8,0.4,10.4,19.645,589.35
"130",163,"Gabriel Deck","PF",NA,26,"OKC",7,0.571,0.5,0.6,0,0.1,0.7,0.7,0.1,0,2.6,5.155,36.085
"131",164,"Dewayne Dedmon","C",NA,32,"MIA",67,0.566,0.404,0.597,0.75,1.6,4.2,0.7,0.4,0.6,6.3,17.04,1141.68
"132",165,"Sam Dekker","PF",NA,27,"TOR",1,0,0,0,0,0,0,0,0,0,0,0,0
"133",166,"Javin DeLaurier","C",NA,23,"MIL",1,0,0,0,0,0,1,0,1,0,0,3.15,3.15
"134",167,"DeMar DeRozan","PF",NA,32,"CHI",76,0.504,0.352,0.52,0.877,0.7,4.4,4.9,0.9,0.3,27.9,46.845,3560.22
"135",168,"Mamadi Diakite","PF",NA,25,"OKC",13,0.532,0,0.595,0.545,1.3,3.2,0.2,0.4,0.7,4.3,12.74,165.62
"136",169,"Cheick Diallo","C",NA,25,"DET",3,0.375,0,0.375,0.833,1.3,2.7,0,0.3,0,3.7,9.215,27.645
"137",170,"Hamidou Diallo","SG",NA,23,"DET",58,0.496,0.247,0.55,0.65,1.2,3.6,1.3,1.2,0.3,11,22.745,1319.21
"138",171,"Gorgui Dieng","C",NA,32,"ATL",44,0.473,0.426,0.545,0.731,0.7,2,0.8,0.3,0.3,3.5,9.68,425.92
"139",172,"Spencer Dinwiddie","PG",NA,28,"TOT",67,0.416,0.339,0.479,0.774,0.7,3.5,5.2,0.7,0.2,13.7,30.805,2063.935
"140",175,"Donte DiVincenzo","SG",NA,25,"TOT",42,0.351,0.339,0.373,0.843,1,3.1,2.8,1.1,0.2,9,22.145,930.09
"141",178,"Luka Don?i?","PG",NA,22,"DAL",65,0.457,0.353,0.528,0.744,0.9,8.3,8.7,1.2,0.6,28.4,60.485,3931.525
"142",179,"Luguentz Dort","SF",NA,22,"OKC",51,0.404,0.332,0.487,0.843,0.7,3.4,1.7,0.9,0.4,17.2,28.79,1468.29
"143",180,"Ayo Dosunmu","SG",NA,22,"CHI",77,0.52,0.376,0.596,0.679,0.4,2.4,3.3,0.8,0.4,8.8,21.205,1632.785
"144",181,"Damyean Dotson","SG",NA,27,"NYK",2,0.5,0,0.667,0,0,1,0.5,0,0,2,4.175,8.35
"145",182,"Devon Dotson","PG",NA,22,"CHI",11,0.478,0.222,0.643,0.556,0.1,0.7,1.4,0.1,0,2.6,6.45,70.95
"146",183,"Sekou Doumbouya","PF",NA,21,"LAL",2,0.625,0.5,0.667,0.75,1,2,0,1.5,1,7,16.4,32.8
"147",184,"Jeff Dowtin","PG",NA,24,"TOT",9,0.308,0.111,0.412,1,0.9,1.1,1.1,0.6,0.1,2.1,8.08,72.72
"148",188,"PJ Dozier","SG",NA,25,"DEN",18,0.364,0.313,0.412,0.769,0.8,2.7,1.6,0.6,0.3,5.4,14.685,264.33
