"","...1","Player","Position 1","Position 2","Age","Team","Games Played","Field Goal Percentage","3 Point Percentage","2 Point Percentage","Free Throw Percentage","Offensive Rebounds Per Game","Defensive Rebounds Per Game","Assists Per Game","Steals Per Game","Blocks Per Game","Points Per Game","Average Fantasy Points","Total Fantasy Points"
"149",189,"Goran Dragi?","PG",NA,35,"TOT",21,0.377,0.254,0.466,0.818,0.6,2.5,4.1,0.9,0.2,7.5,21.385,449.085
"150",192,"Andre Drummond","C",NA,28,"TOT",73,0.57,0,0.574,0.524,3.1,6.2,1.8,1.1,0.9,7.9,27.08,1976.84
"151",195,"Chris Duarte","SG",NA,24,"IND",55,0.432,0.369,0.475,0.804,0.7,3.4,2.1,1,0.2,13.1,24.925,1370.875
"152",196,"David Duke Jr.","PG",NA,22,"BRK",22,0.361,0.243,0.423,0.81,1.4,1.7,0.8,0.6,0.3,4.7,12.07,265.54
"153",197,"Kris Dunn","PG",NA,27,"POR",14,0.431,0.091,0.473,0.944,0.6,2.9,5.6,1.6,0.2,7.6,26.125,365.75
"154",198,"Kevin Durant","PF",NA,33,"BRK",55,0.518,0.383,0.568,0.91,0.5,6.9,6.4,0.9,0.9,29.9,55.845,3071.475
"155",199,"Jaime Echenique","C",NA,24,"WAS",1,0,0,0,0,0,0,0,0,0,0,0,0
"156",200,"Anthony Edwards","SG",NA,20,"MIN",72,0.441,0.357,0.519,0.786,0.9,3.9,3.8,1.5,0.6,21.3,39.505,2844.36
"157",201,"Carsen Edwards","SG",NA,23,"DET",4,0.3,0.25,0.357,1,0.5,1,3.5,0.5,0,5.8,15.34,61.36
"158",202,"Kessler Edwards","SF",NA,21,"BRK",48,0.412,0.353,0.473,0.842,0.9,2.7,0.6,0.6,0.5,5.9,13.985,671.28
"159",203,"Rob Edwards","SG",NA,25,"OKC",2,0.25,0.25,0,0,0,1.5,0,0,0,1.5,3.3,6.6
"160",204,"CJ Elleby","SF",NA,21,"POR",58,0.393,0.294,0.462,0.714,1.1,2.8,1.5,0.6,0.3,5.8,15.41,893.78
"161",205,"Wayne Ellington","SG",NA,34,"LAL",43,0.414,0.389,0.615,0.818,0.2,1.6,0.7,0.5,0.1,6.7,11.67,501.81
"162",206,"Joel Embiid","C",NA,27,"PHI",68,0.499,0.371,0.529,0.814,2.1,9.6,4.2,1.1,1.5,30.6,59.515,4047.02
"163",207,"James Ennis III","SF",NA,31,"TOT",7,0.458,0.375,0.5,0.8,0.7,1,0.4,0.3,0.3,4.1,8.42,58.94
"164",211,"Drew Eubanks","C",NA,24,"TOT",71,0.596,0.217,0.621,0.762,1.8,3.5,1.2,0.4,0.6,7.7,18.88,1340.48
"165",214,"Tacko Fall","C",NA,26,"CLE",11,0.417,0,0.417,0.286,0.6,1.5,0.2,0,0.5,1.1,5.25,57.75
"166",215,"Derrick Favors","C",NA,30,"OKC",39,0.516,0.125,0.554,0.64,1.5,3.2,0.6,0.4,0.3,5.3,13.78,537.42
"167",216,"Bruno Fernando","C",NA,23,"TOT",30,0.655,0.5,0.66,0.625,0.6,1.2,0.2,0,0.4,2.9,6.545,196.35
"168",219,"Dorian Finney-Smith","PF",NA,28,"DAL",80,0.471,0.395,0.599,0.675,1.5,3.2,1.9,1.1,0.5,11,24.07,1925.6
"169",220,"Malik Fitts","PF",NA,24,"TOT",15,0.421,0.5,0.333,0,0.1,1,0.3,0,0,1.4,3.3,49.5
"170",223,"Malachi Flynn","PG",NA,23,"TOR",44,0.393,0.333,0.452,0.625,0.2,1.2,1.6,0.5,0.1,4.3,10.355,455.62
"171",224,"Bryn Forbes","SG",NA,28,"TOT",75,0.429,0.414,0.447,0.908,0.1,1.1,1,0.3,0.1,8.8,13.33,999.75
"172",227,"Aleem Ford","SF",NA,24,"ORL",5,0.3,0.133,0.8,0,0.4,2.6,0.4,0.2,0,2.8,7.57,37.85
"173",228,"Trent Forrest","PG",NA,23,"UTA",60,0.49,0.185,0.555,0.792,0.4,1.3,1.8,0.5,0.1,3.3,10.04,602.4
"174",229,"Evan Fournier","SG",NA,29,"NYK",80,0.417,0.389,0.465,0.708,0.4,2.2,2.1,1,0.3,14.1,24.47,1957.6
"175",230,"De'Aaron Fox","PG",NA,24,"SAC",59,0.473,0.297,0.524,0.75,0.4,3.5,5.6,1.2,0.4,23.2,42.645,2516.055
"176",231,"Melvin Frazier","SG",NA,25,"OKC",3,0.271,0.048,0.444,0.714,1.7,2.7,0.3,0.3,0,10.7,17.62,52.86
"177",232,"Tim Frazier","PG",NA,31,"TOT",12,0.311,0.353,0.286,0.556,0.4,1.2,2.8,0.3,0.1,3.3,11.375,136.5
"178",235,"Enes Freedom","C",NA,29,"BOS",35,0.526,0.4,0.533,0.857,1.7,2.8,0.2,0.1,0.4,3.7,10.8,378
"179",236,"Markelle Fultz","PG",NA,23,"ORL",18,0.474,0.235,0.5,0.806,0.2,2.5,5.5,1.1,0.3,10.8,27.59,496.62
"180",237,"Wenyen Gabriel","PF",NA,24,"TOT",26,0.491,0.286,0.561,0.595,1.5,2.2,0.5,0.2,0.4,5.4,12.4,322.4
"181",241,"Daniel Gafford","C",NA,23,"WAS",72,0.693,0,0.695,0.699,2.2,3.5,0.9,0.4,1.4,9.4,22.61,1627.92
"182",242,"Danilo Gallinari","PF",NA,33,"ATL",66,0.434,0.381,0.485,0.904,0.5,4.1,1.5,0.4,0.2,11.7,21.7,1432.2
"183",243,"Langston Galloway","SG",NA,30,"TOT",7,0.231,0.125,0.4,0,0.4,2.1,1.7,0.1,0,2,8.36,58.52
"184",246,"Darius Garland","PG",NA,22,"CLE",68,0.462,0.383,0.512,0.892,0.6,2.7,8.6,1.3,0.1,21.7,45.4,3087.2
"185",247,"Marcus Garrett","SG",NA,23,"MIA",12,0.238,0.25,0.235,0.4,0.8,1.2,0.6,0.4,0.3,1.1,6.195,74.34
"186",248,"Usman Garuba","PF",NA,19,"HOU",24,0.432,0.25,0.583,0.714,0.9,2.6,0.7,0.4,0.5,2,9.56,229.44
"187",249,"Luka Garza","C",NA,23,"DET",32,0.449,0.327,0.51,0.623,1.8,1.3,0.6,0.3,0.2,5.8,12.045,385.44
"188",250,"Rudy Gay","PF",NA,35,"UTA",55,0.414,0.345,0.494,0.785,1,3.4,1,0.5,0.3,8.1,17.265,949.575
"189",251,"Paul George","SF",NA,31,"LAC",31,0.421,0.354,0.467,0.858,0.4,6.5,5.7,2.2,0.4,24.3,49.435,1532.485
"190",252,"Taj Gibson","C",NA,36,"NYK",52,0.518,0.395,0.555,0.808,1.7,2.7,0.6,0.4,0.8,4.4,13.76,715.52
"191",253,"Josh Giddey","SG",NA,19,"OKC",54,0.419,0.263,0.492,0.709,1.8,6,6.4,0.9,0.4,12.5,36.915,1993.41
"192",254,"Shai Gilgeous-Alexander","PG",NA,23,"OKC",56,0.453,0.3,0.514,0.81,0.7,4.3,5.9,1.3,0.8,24.5,47.06,2635.36
"193",255,"Anthony Gill","PF",NA,29,"WAS",44,0.569,0.538,0.578,0.808,0.8,1.2,0.6,0.1,0.3,4.1,8.745,384.78
"194",256,"Freddie Gillespie","PF",NA,24,"ORL",9,0.409,0,0.429,0.429,1.4,2.6,0.6,0.3,1,2.3,11.365,102.285
"195",257,"Rudy Gobert","C",NA,29,"UTA",66,0.713,0,0.718,0.69,3.7,11,1.1,0.7,2.1,15.6,42.34,2794.44
"196",258,"Brandon Goodwin","PG",NA,26,"CLE",36,0.416,0.345,0.455,0.632,0.4,1.5,2.5,0.7,0,4.8,13.29,478.44
"197",259,"Jordan Goodwin","SG",NA,23,"WAS",2,0,0,0,0,0,0.5,0,0,0,0,0.575,1.15
"198",260,"Aaron Gordon","PF",NA,26,"DEN",75,0.52,0.335,0.605,0.743,1.7,4.2,2.5,0.6,0.6,15,30.03,2252.25
"199",261,"Eric Gordon","SG",NA,33,"HOU",57,0.475,0.412,0.548,0.778,0.3,1.7,2.7,0.5,0.3,13.4,23.145,1319.265
"200",262,"Devonte' Graham","PG",NA,26,"NOP",76,0.363,0.341,0.413,0.843,0.5,1.8,4.2,0.9,0.2,11.9,25.26,1919.76
"201",263,"Jerami Grant","PF",NA,27,"DET",47,0.426,0.358,0.465,0.838,0.6,3.5,2.4,0.9,1,19.2,33.675,1582.725
"202",264,"Hassani Gravett","PG",NA,25,"ORL",8,0.474,0.423,0.583,0.75,0.1,2.5,2.5,0.6,0.1,6.3,15.69,125.52
"203",265,"Danny Green","SF",NA,34,"PHI",62,0.394,0.38,0.469,0.786,0.5,2,1,1,0.6,5.9,14.47,897.14
"204",266,"Draymond Green","PF",NA,31,"GSW",46,0.525,0.296,0.586,0.659,1,6.3,7,1.3,1.1,7.5,34.67,1594.82
"205",267,"Jalen Green","SG",NA,19,"HOU",67,0.426,0.343,0.502,0.797,0.5,2.9,2.6,0.7,0.3,17.3,29.085,1948.695
"206",268,"JaMychal Green","PF",NA,31,"DEN",67,0.486,0.266,0.621,0.871,1.2,3,0.9,0.6,0.4,6.4,15.535,1040.845
"207",269,"Javonte Green","SF",NA,28,"CHI",65,0.542,0.356,0.625,0.833,1.4,2.8,0.9,1,0.5,7.2,17.445,1133.925
"208",270,"Jeff Green","C",NA,35,"DEN",75,0.524,0.315,0.62,0.833,0.5,2.5,1.3,0.4,0.4,10.3,18.52,1389
"209",271,"Josh Green","SG",NA,21,"DAL",67,0.508,0.359,0.573,0.689,0.8,1.6,1.2,0.7,0.2,4.8,12,804
"210",272,"Blake Griffin","PF",NA,32,"BRK",56,0.425,0.262,0.565,0.724,1.1,3,1.9,0.5,0.3,6.4,16.81,941.36
"211",273,"Quentin Grimes","SG",NA,21,"NYK",46,0.404,0.381,0.5,0.684,0.5,1.5,1,0.7,0.2,6,12.4,570.4
"212",274,"Kyle Guy","SG",NA,24,"MIA",19,0.4,0.35,0.48,0.667,0.2,0.7,0.9,0.4,0.1,3.9,7.865,149.435
"213",275,"Rui Hachimura","PF",NA,23,"WAS",42,0.491,0.447,0.512,0.697,0.6,3.2,1.1,0.5,0.2,11.3,19.83,832.86
"214",276,"Tyrese Haliburton","SG","PG",21,"TOT",77,0.473,0.414,0.517,0.842,0.8,3.2,8.2,1.7,0.6,15.3,40.815,3142.755
"215",279,"Tyler Hall","SG",NA,24,"NYK",1,0,0,0,0,0,0,0,0,0,0,0,0
"216",280,"R.J. Hampton","SG",NA,20,"ORL",64,0.383,0.35,0.405,0.641,0.4,2.7,2.5,0.7,0.2,7.6,18.11,1159.04
"217",281,"Tim Hardaway Jr.","SG",NA,29,"DAL",42,0.394,0.336,0.473,0.757,0.3,3.4,2.2,0.9,0.1,14.2,25.315,1063.23
"218",282,"James Harden","PG","SG",32,"TOT",65,0.41,0.33,0.476,0.877,0.8,6.8,10.3,1.3,0.6,22,55.075,3579.875
"219",285,"Maurice Harkless","SF",NA,28,"SAC",47,0.459,0.307,0.65,0.714,0.3,2.1,0.5,0.6,0.5,4.6,10.995,516.765
"220",286,"Jared Harper","PG",NA,24,"NOP",5,0.538,0.417,0.643,1,0.4,0,2.8,0.8,0.2,7.4,15.55,77.75
"221",287,"Montrezl Harrell","C",NA,28,"TOT",71,0.645,0.235,0.658,0.716,2.1,4,2,0.4,0.6,13.1,26.98,1915.58
"222",290,"Gary Harris","SG",NA,27,"ORL",61,0.434,0.384,0.494,0.874,0.6,1.4,1.8,1,0.1,11.1,19.595,1195.295
"223",291,"Joe Harris","SF",NA,30,"BRK",14,0.452,0.466,0.417,0.833,0.4,3.6,1,0.5,0.1,11.3,19.605,274.47
"224",292,"Tobias Harris","PF",NA,29,"PHI",73,0.482,0.367,0.525,0.842,1.1,5.7,3.5,0.6,0.6,17.2,35.165,2567.045
"225",293,"Shaquille Harrison","SG",NA,28,"BRK",2,0.333,0,0.5,0,0.5,1.5,1.5,0.5,0.5,2,9.475,18.95
"226",294,"Josh Hart","SG","SF",26,"TOT",54,0.504,0.343,0.601,0.758,1.1,6,4.1,1.1,0.2,14.9,34.205,1847.07
"227",297,"Isaiah Hartenstein","C",NA,23,"LAC",68,0.626,0.467,0.64,0.689,1.7,3.2,2.4,0.7,1.1,8.3,23.11,1571.48
"228",298,"Udonis Haslem","C",NA,41,"MIA",13,0.452,0.25,0.481,1,0.3,1.6,0.3,0.1,0.1,2.5,5.845,75.985
"229",299,"Sam Hauser","SF",NA,24,"BOS",26,0.46,0.432,0.667,0,0.2,0.9,0.4,0,0.1,2.5,4.9,127.4
"230",300,"Jaxson Hayes","C",NA,21,"NOP",70,0.616,0.351,0.66,0.766,1.6,2.9,0.6,0.5,0.8,9.3,19.21,1344.7
"231",301,"Killian Hayes","PG",NA,20,"DET",66,0.383,0.263,0.452,0.77,0.5,2.6,4.2,1.2,0.5,6.9,22.28,1470.48
"232",302,"Gordon Hayward","SF",NA,31,"CHO",49,0.459,0.391,0.496,0.846,0.8,3.8,3.6,1,0.4,15.9,31.725,1554.525
"233",303,"Aaron Henry","SF",NA,22,"PHI",6,0.2,0,0.25,0,0,0.2,0,0,0.3,0.3,1.295,7.77
"234",304,"Juancho Hernangómez","PF",NA,26,"TOT",40,0.415,0.348,0.541,0.559,0.7,1.8,0.5,0.4,0.3,3.3,8.885,355.4
"235",308,"Willy Hernangómez","C",NA,27,"NOP",50,0.52,0.333,0.527,0.773,2.9,3.9,1.3,0.4,0.4,9.1,21.87,1093.5
"236",309,"Tyler Herro","SG",NA,22,"MIA",66,0.447,0.399,0.477,0.868,0.5,4.5,4,0.7,0.1,20.7,36.585,2414.61
"237",310,"Buddy Hield","SG",NA,29,"TOT",81,0.406,0.366,0.482,0.874,0.8,3.5,2.8,0.9,0.3,15.6,29.135,2359.935
"238",313,"Haywood Highsmith","SF",NA,25,"MIA",19,0.348,0.321,0.389,0.4,0.5,0.8,0.3,0.1,0.2,2.3,5.215,99.085
"239",314,"George Hill","SG",NA,35,"MIL",54,0.429,0.306,0.546,0.919,0.7,2.2,2.2,0.8,0.1,6.2,15.835,855.09
"240",315,"Malcolm Hill","SF","SG",26,"TOT",19,0.462,0.361,0.688,0.786,0.6,1.3,0.4,0.4,0.2,3.8,8.275,157.225
"241",318,"Solomon Hill","PF",NA,30,"ATL",13,0.15,0.154,0.143,0,0.5,1.3,0.9,0.3,0.2,0.6,5.515,71.695
"242",319,"Nate Hinton","SG",NA,22,"IND",2,0,0,0,0,0,0,0,0,0,0,0,0
"243",320,"Jaylen Hoard","SF",NA,22,"OKC",7,0.489,0.36,0.538,0.429,4.3,7.7,2.4,0.9,0.7,14.7,37.655,263.585
"244",321,"Aaron Holiday","PG",NA,25,"TOT",63,0.447,0.379,0.477,0.868,0.4,1.6,2.4,0.7,0.1,6.3,15.045,947.835
"245",324,"Jrue Holiday","PG",NA,31,"MIL",67,0.501,0.411,0.547,0.761,1,3.5,6.8,1.6,0.4,18.3,41.27,2765.09
"246",325,"Justin Holiday","SF","SG",32,"TOT",74,0.394,0.367,0.467,0.806,0.4,2.2,1.7,0.8,0.4,10.1,19.38,1434.12
"247",328,"Richaun Holmes","C",NA,28,"SAC",45,0.66,0.4,0.664,0.778,2.1,5,1.1,0.4,0.9,10.4,24.38,1097.1
"248",329,"Rodney Hood","SF","SG",29,"TOT",52,0.369,0.33,0.424,0.895,0.3,1.2,0.7,0.3,0.1,3.1,7.155,372.06
"249",332,"Scotty Hopson","SG",NA,32,"OKC",1,0.5,0,0.667,0,0,1,1,0,0,4,7.2,7.2
"250",333,"Al Horford","C",NA,35,"BOS",69,0.467,0.336,0.582,0.842,1.6,6.1,3.4,0.7,1.3,10.2,30.665,2115.885
"251",334,"Talen Horton-Tucker","SG",NA,21,"LAL",60,0.416,0.269,0.492,0.8,0.6,2.6,2.7,1,0.5,10,22.485,1349.1
"252",335,"Danuel House Jr.","SF",NA,28,"TOT",42,0.404,0.376,0.444,0.759,0.4,2.2,1,0.5,0.4,5.9,13.075,549.15
"253",339,"Dwight Howard","C",NA,36,"LAL",60,0.612,0.533,0.618,0.658,2,4,0.6,0.6,0.6,6.2,17.42,1045.2
"254",340,"Markus Howard","SG",NA,22,"DEN",31,0.386,0.4,0.355,0.87,0.1,0.3,0.2,0.3,0,4.1,5.745,178.095
"255",341,"Kevin Huerter","SG",NA,23,"ATL",74,0.454,0.389,0.53,0.808,0.4,3,2.7,0.7,0.4,12.1,24.05,1779.7
"256",342,"Jay Huff","C",NA,23,"LAL",4,0,0,0,0,0.3,0.8,0.3,0.3,0.3,0,3.2,12.8
"257",343,"Elijah Hughes","SG","SF",23,"TOT",36,0.326,0.263,0.449,0.778,0.2,1.4,0.6,0.4,0.2,3.5,7.945,286.02
"258",346,"Feron Hunt","SF",NA,22,"NYK",2,0,0,0,0,0.5,0,0.5,0.5,0,0,2.55,5.1
"259",347,"De'Andre Hunter","SF",NA,24,"ATL",53,0.442,0.379,0.474,0.765,0.5,2.8,1.3,0.7,0.4,13.4,22.72,1204.16
"260",348,"Chandler Hutchison","SF",NA,25,"PHO",6,0.5,0,0.5,1,0,0.8,0.3,0,0,0.7,2.21,13.26
"261",349,"Bones Hyland","PG",NA,21,"DEN",69,0.403,0.366,0.465,0.856,0.2,2.5,2.8,0.6,0.3,10.1,20.86,1439.34
"262",350,"Serge Ibaka","C","PF",32,"TOT",54,0.5,0.374,0.563,0.727,1.1,3.5,0.9,0.2,0.6,6.8,16.105,869.67
"263",353,"Andre Iguodala","SF",NA,38,"GSW",31,0.38,0.23,0.617,0.75,0.7,2.5,3.7,0.9,0.7,4,18.345,568.695
"264",354,"Joe Ingles","SF",NA,34,"UTA",45,0.404,0.347,0.617,0.773,0.3,2.6,3.5,0.5,0.1,7.2,18.65,839.25
"265",355,"Brandon Ingram","SF",NA,24,"NOP",55,0.461,0.327,0.501,0.826,0.6,5.2,5.6,0.6,0.5,22.7,43.375,2385.625
"266",356,"Kyrie Irving","PG",NA,29,"BRK",29,0.469,0.418,0.501,0.915,0.6,3.8,5.8,1.4,0.6,27.4,48.92,1418.68
"267",357,"Wes Iwundu","SF",NA,27,"ATL",3,0.444,0.6,0.385,0.75,1,3.3,0,0.3,0,7.3,13.31,39.93
"268",358,"Frank Jackson","PG",NA,23,"DET",53,0.402,0.308,0.529,0.827,0.4,1.3,1,0.5,0.2,10.6,16.475,873.175
"269",359,"Isaiah Jackson","PF",NA,20,"IND",36,0.563,0.313,0.584,0.682,1.7,2.5,0.3,0.7,1.4,8.3,19.17,690.12
"270",360,"Jaren Jackson Jr.","PF",NA,22,"MEM",78,0.415,0.319,0.476,0.823,1.5,4.3,1.1,0.9,2.3,16.3,33.52,2614.56
"271",361,"Josh Jackson","SF",NA,24,"TOT",51,0.4,0.254,0.512,0.714,0.4,2.4,1.1,0.5,0.4,6.4,14.015,714.765
"272",364,"Justin Jackson","SF",NA,26,"TOT",7,0.333,0.333,0.333,1,0.1,0.9,0.3,0,0,2.1,3.92,27.44
"273",367,"Reggie Jackson","SG",NA,31,"LAC",75,0.392,0.326,0.439,0.847,0.5,3.1,4.8,0.7,0.2,16.8,32.61,2445.75
"274",368,"LeBron James","SF",NA,37,"LAL",56,0.524,0.359,0.62,0.756,1.1,7.1,6.2,1.3,1.1,30.3,58.175,3257.8
"275",369,"DeJon Jarreau","SG",NA,24,"IND",1,0,0,0,0,0,0,0,0,0,0,0,0
"276",370,"DaQuan Jeffries","SG",NA,24,"MEM",3,0.5,0,1,0,0,0.7,0.3,0,0,0.7,2.095,6.285
"277",371,"Ty Jerome","SG",NA,24,"OKC",48,0.378,0.29,0.493,0.809,0.4,1.2,2.3,0.6,0.1,7.1,15.04,721.92
"278",372,"Isaiah Joe","SG",NA,22,"PHI",55,0.35,0.333,0.405,0.935,0.1,0.9,0.6,0.3,0.1,3.6,6.9,379.5
"279",373,"Alize Johnson","PF",NA,25,"TOT",23,0.436,0,0.486,0.583,1.2,1.4,0.4,0.2,0,1.8,6.14,141.22
"280",377,"B.J. Johnson","SF",NA,26,"ORL",4,0.44,0.4,0.467,0,1.5,2.3,0,0,0.3,6.5,12.095,48.38
"281",378,"Cameron Johnson","PF",NA,25,"PHO",66,0.46,0.425,0.523,0.86,0.6,3.5,1.5,0.9,0.2,12.5,22.975,1516.35
"282",379,"David Johnson","SG",NA,20,"TOR",2,0,0,0,0,0,0,0,0,0,0,0,0
"283",380,"Jalen Johnson","PF",NA,20,"ATL",22,0.537,0.231,0.679,0.714,0.1,1.1,0.1,0.1,0.1,2.4,4.545,99.99
"284",381,"James Johnson","PF",NA,34,"BRK",62,0.469,0.271,0.545,0.527,0.8,2.6,2.1,0.5,0.5,5.5,15.9,985.8
"285",382,"Joe Johnson","SG",NA,40,"BOS",1,1,0,1,0,0,0,0,0,0,2,2.1,2.1
"286",383,"Keldon Johnson","SF",NA,22,"SAS",75,0.466,0.398,0.51,0.756,1.1,5,2.1,0.8,0.2,17,30.96,2322
"287",384,"Keon Johnson","SG",NA,19,"TOT",37,0.353,0.34,0.36,0.804,0.6,1.5,2.1,0.8,0.3,7.2,16.27,601.99
"288",387,"Stanley Johnson","PF",NA,25,"LAL",48,0.466,0.314,0.575,0.716,0.7,2.5,1.7,0.9,0.3,6.7,16.48,791.04
"289",388,"Tyler Johnson","PG",NA,29,"TOT",6,0.3,0.385,0.143,0,0.5,1.5,1.2,0.5,0.5,2.8,9.76,58.56
"290",391,"Nikola Joki?","C",NA,26,"DEN",74,0.583,0.337,0.652,0.81,2.8,11,7.9,1.5,0.9,27.1,64.47,4770.78
"291",392,"Carlik Jones","PG",NA,24,"TOT",5,0.111,0,0.125,1,0.2,0.4,1,0.2,0,0.8,3.8,19
"292",395,"Damian Jones","C",NA,26,"SAC",56,0.658,0.345,0.696,0.718,1.3,3.1,1.2,0.5,0.8,8.1,18.915,1059.24
"293",396,"Derrick Jones Jr.","PF",NA,24,"CHI",51,0.538,0.328,0.634,0.8,1.2,2.1,0.6,0.5,0.6,5.6,13.405,683.655
"294",397,"Herbert Jones","PF",NA,23,"NOP",78,0.476,0.337,0.533,0.84,1.3,2.5,2.1,1.7,0.8,9.5,23.76,1853.28
"295",398,"Jemerrio Jones","SF",NA,26,"LAL",2,0.667,0,0.667,0,1,0.5,0,0.5,0,2,4.925,9.85
"296",399,"Kai Jones","C",NA,21,"CHO",21,0.643,0.5,0.667,0.375,0.1,0.4,0.2,0,0.1,1,2.255,47.355
"297",400,"Mason Jones","SG",NA,23,"LAL",4,0.467,0.25,0.545,0.8,0.3,2.3,1,0.5,0,6.8,13.01,52.04
"298",401,"Tre Jones","PG",NA,22,"SAS",69,0.49,0.196,0.542,0.78,0.4,1.8,3.4,0.6,0.1,6,16.61,1146.09
"299",402,"Tyus Jones","PG",NA,25,"MEM",73,0.451,0.39,0.487,0.818,0.2,2.2,4.4,0.9,0,8.7,21.855,1595.415
"300",403,"DeAndre Jordan","C",NA,33,"TOT",48,0.643,0,0.643,0.55,1.7,3.8,0.4,0.3,0.7,4.3,14.1,676.8
